City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Racine,1,US,1584157631,55,42.75,-88.08,39.99,9.33
Zharkent,0,KZ,1584157632,33,44.16,80.0,47.44,6.85
Along,20,IN,1584157633,52,28.17,94.77,72.88,2.33
Alice Springs,0,AU,1584157635,24,-23.7,133.88,91.4,6.93
Bandarbeyla,85,SO,1584157636,80,9.49,50.81,78.69,16.84
Anadyr,100,RU,1584157637,79,64.75,177.48,19.4,8.95
Avera,1,US,1584157638,93,33.19,-82.53,72.0,5.03
Nelson Bay,90,AU,1584157639,93,-32.72,152.15,66.0,21.92
Mogadishu,40,SO,1584157350,74,2.04,45.34,80.6,8.05
Sturgis,1,US,1584157641,55,41.8,-85.42,39.99,9.31
Zyryanka,100,RU,1584157642,71,65.75,150.85,-6.11,3.49
Shenjiamen,28,CN,1584157643,67,29.96,122.3,48.69,16.98
Bambanglipuro,93,ID,1584157644,63,-7.95,110.28,86.18,3.49
Shingū,75,JP,1584157645,87,33.73,135.98,48.2,12.75
Bitkine,48,TD,1584157647,19,11.98,18.21,62.2,7.67
Ürümqi,0,CN,1584157650,55,43.8,87.6,37.4,2.24
Isparta Province,0,TR,1584157651,87,38.0,31.0,46.4,2.24
Okahandja,0,NA,1584157652,42,-21.98,16.92,62.6,6.93
Kulhudhuffushi,0,MV,1584157653,79,6.62,73.07,83.32,14.7
Ashtabula,1,US,1584157654,44,41.7,-80.77,39.99,8.05
Semnan,100,IR,1584157603,22,35.57,53.4,58.87,7.07
Birao,33,CF,1584157656,18,10.28,22.79,70.68,7.61
Kumul,71,CN,1584157657,19,42.8,93.45,41.36,1.88
Lodja,99,CD,1584157658,99,-3.48,23.43,66.94,1.9
Formosa,0,AR,1584157659,62,-26.18,-58.18,84.2,4.7
Esmeraldas,65,BR,1584157452,83,-19.76,-44.31,71.6,10.29
Riohacha,1,CO,1584157662,83,11.54,-72.91,76.35,13.33
Tessalit,0,ML,1584157663,16,20.2,1.01,69.08,11.83
Zhalantun,0,CN,1584157664,57,48.0,122.72,28.56,16.46
Provideniya,100,RU,1584157665,97,64.38,-173.3,28.09,17.56
Teahupoo,20,PF,1584157667,66,-17.83,-149.27,87.8,11.41
Eureka,90,US,1584157668,93,40.8,-124.16,48.0,5.82
Sittwe,0,MM,1584157669,54,20.15,92.9,81.45,3.87
Nizhniy Kuranakh,99,RU,1584157671,86,58.84,125.49,-6.0,7.29
Meulaboh,0,ID,1584157672,77,4.14,96.13,81.91,3.85
San Patricio,0,MX,1584157674,81,19.22,-104.7,75.87,3.04
Hamilton,1,US,1584157675,74,39.18,-84.53,43.0,4.21
Sinnamary,19,GF,1584157676,81,5.38,-52.95,80.49,18.43
Marabu,75,MY,1584157677,79,4.41,114.01,87.8,8.05
Zhigansk,97,RU,1584157678,93,66.77,123.37,-9.08,1.79
Bilma,0,NE,1584157607,30,18.69,12.92,55.47,1.05
Karatuzskoye,49,RU,1584157683,77,53.61,92.87,27.93,3.78
Bilibino,100,RU,1584157684,90,68.05,166.44,-13.07,14.65
Ţahţā,75,EG,1584157685,44,26.77,31.5,60.8,12.75
Am Timan,46,TD,1584157688,19,11.03,20.28,66.27,5.21
Nakapiripirit,88,UG,1584157689,81,1.92,34.78,67.39,5.03
Mitsamiouli,20,KM,1584157690,94,-11.38,43.28,78.8,8.05
Glubokiy,100,RU,1584157691,72,48.52,40.33,48.07,7.02
Oil City,1,US,1584157692,55,41.43,-79.71,37.99,9.17
Antofagasta,40,CL,1584157544,93,-23.65,-70.4,64.4,4.7
Mulchén,69,CL,1584157694,93,-37.72,-72.23,51.44,3.09
Hambantota,0,LK,1584157695,88,6.12,81.12,78.8,2.24
Tsiroanomandidy,100,MG,1584157699,90,-18.77,46.03,65.03,1.14
Bac Lieu,32,VN,1584157700,40,9.29,105.72,91.85,12.44
Marystown,100,CA,1584157701,74,47.17,-55.15,29.14,23.02
Charters Towers,2,AU,1584157702,41,-20.1,146.27,83.14,15.35
Marawi,91,PH,1584157703,76,8.0,124.29,82.0,8.01
Talnakh,75,RU,1584157704,95,69.49,88.4,32.0,24.61
Schiffdorf,75,DE,1584157705,80,53.53,8.65,32.0,3.36
Gawler,20,AU,1584157666,30,-34.6,138.73,72.0,18.34
Cockburn Town,15,TC,1584157707,80,21.46,-71.14,76.89,20.0
Youghal,40,IE,1584157708,93,51.95,-7.85,46.0,5.82
Araioses,100,BR,1584157710,99,-2.89,-41.9,72.66,2.3
Prince Rupert,1,CA,1584157711,36,54.32,-130.32,30.2,14.99
Laguna,1,US,1584157714,71,38.42,-121.42,57.2,21.92
Palu,100,ID,1584157715,70,-0.89,119.87,79.21,1.3
Camacha,75,PT,1584157716,76,33.08,-16.33,60.8,13.87
La Grande,90,US,1584157717,86,45.32,-118.09,39.2,3.89
Kununurra,32,AU,1584157718,39,-15.77,128.73,96.8,6.93
Shubarshi,33,KZ,1584157719,68,48.59,57.19,36.48,14.56
Comodoro Rivadavia,75,AR,1584157720,59,-45.87,-67.5,64.4,11.41
Flinders,100,AU,1584157721,87,-34.58,150.86,55.99,5.01
Coquimbo,50,CL,1584157722,87,-29.95,-71.34,60.8,3.36
Cervo,73,ES,1584157723,1,43.67,-7.41,46.0,1.01
Dingle,62,PH,1584157724,64,11.0,122.67,84.49,9.78
Gweta,27,BW,1584157725,80,-20.18,25.23,70.34,4.23
West Bay,0,KY,1584157727,88,19.37,-81.42,78.8,5.82
Huilong,67,CN,1584157728,57,31.81,121.66,53.01,5.01
Wanning,79,CN,1584157729,80,18.8,110.4,78.42,4.56
Itarema,100,BR,1584157730,98,-2.92,-39.92,73.96,3.44
Sitka,75,US,1584157731,51,57.05,-135.33,35.6,24.16
Luau,100,AO,1584157732,99,-10.71,22.22,66.02,2.17
Krasnosel'kup,100,RU,1584157733,89,65.7,82.47,33.73,19.93
Praia da Vitória,20,PT,1584157734,82,38.73,-27.07,57.2,4.16
Olafsvik,100,IS,1584157735,75,64.89,-23.71,27.39,28.43
Carinhanha,5,BR,1584157736,95,-14.3,-43.77,69.57,2.48
Weligama,0,LK,1584157737,65,5.97,80.42,81.54,5.95
Narsaq,95,GL,1584157738,79,60.92,-46.05,19.4,1.12
Taoudenni,0,ML,1584157739,13,22.68,-3.98,67.66,6.13
Lebedinyy,100,RU,1584157741,88,58.52,125.52,-11.16,5.68
Champerico,20,GT,1584157742,72,14.3,-91.92,78.71,4.36
Rovaniemi,20,FI,1584157743,78,66.5,25.72,8.6,11.41
Myitkyina,0,MM,1584157744,33,25.38,97.4,80.98,3.42
Kieta,91,PG,1584157745,80,-6.22,155.63,83.98,17.4
Teya,100,RU,1584157746,87,60.38,92.63,28.65,7.78
Manacapuru,76,BR,1584157747,83,-3.3,-60.62,80.6,1.77
Vāghodia,0,IN,1584157748,52,22.3,73.38,66.2,9.17
Trincomalee,8,LK,1584157749,62,8.57,81.23,81.99,5.08
Haines Junction,49,CA,1584157750,74,60.75,-137.51,5.47,1.66
Weiser,1,US,1584157751,24,44.25,-116.97,48.2,4.7
Gull Lake,90,CA,1584157502,71,50.1,-108.48,6.8,21.92
Manokwari,50,ID,1584157754,88,-0.87,134.08,78.44,7.49
Beringovskiy,100,RU,1584157755,91,63.05,179.32,21.52,14.34
Yerbogachën,53,RU,1584157756,86,61.28,108.01,5.36,8.5
Stettler,100,CA,1584157696,83,52.32,-112.72,-2.0,5.01
Tongliao,0,CN,1584157758,35,43.61,122.27,39.7,15.12
Adana Province,75,TR,1584157560,72,36.98,35.29,60.01,8.05
Aleksandrovskiy Zavod,58,RU,1584157760,65,50.92,117.94,18.36,20.33
Brenham,75,US,1584157761,78,30.17,-96.4,75.2,6.93
Urengoy,100,RU,1584157512,93,65.97,78.37,33.48,19.22
Eldorado,0,BR,1584157763,78,-23.79,-54.28,74.66,2.39
Port Hardy,20,CA,1584157764,40,50.7,-127.42,35.6,21.92
Cayenne,75,GF,1584157722,74,4.93,-52.33,80.6,11.41
Phang Nga,20,TH,1584157767,58,8.45,98.53,89.6,8.05
Nanortalik,100,GL,1584157769,71,60.14,-45.24,23.27,12.55
Carora,51,VE,1584157770,80,10.18,-70.08,70.95,3.91
Assen,0,NL,1584157771,100,53.0,6.56,35.01,2.24
Iberia,1,US,1584157772,94,29.95,-91.75,70.0,4.7
Mount Isa,0,AU,1584157773,25,-20.73,139.5,89.6,13.87
Bethanien,0,NA,1584157774,60,-26.5,17.16,62.11,2.39
Arcata,90,US,1584157502,93,40.87,-124.08,48.0,5.82
Caraz,95,PE,1584157776,91,-9.05,-77.81,51.8,2.1
Kibre Mengist,69,ET,1584157777,76,5.88,38.98,63.16,0.76
Oskarshamn,0,SE,1584157778,92,57.26,16.45,28.99,9.17
Monrovia,40,LR,1584157779,94,6.3,-10.8,80.6,3.36
Tinskoy,0,RU,1584157780,93,56.15,96.92,33.76,4.16
Yerofey Pavlovich,59,RU,1584157782,65,53.97,121.97,5.14,13.87
Dahuk,100,IQ,1584157784,81,36.87,42.99,50.31,6.4
Bol,3,TD,1584157785,37,13.46,14.71,66.38,16.78
Cedar Lake,1,US,1584157786,41,41.36,-87.44,43.0,6.93
Takoradze,0,GH,1584157787,94,4.88,-1.76,77.74,2.93
Mt. Pleasant,20,US,1584157788,82,32.79,-79.86,68.0,5.3
Bijbehara,100,IN,1584157789,77,33.8,75.1,38.95,1.68
Maţāy,80,EG,1584157791,75,28.42,30.78,57.13,8.52
Kiama,90,AU,1584157793,71,-34.68,150.87,57.2,6.93
The Valley,75,AI,1584157794,88,18.22,-63.06,78.01,6.93
Robertsport,52,LR,1584157796,88,6.75,-11.37,81.66,10.47
Pala,100,TD,1584157797,17,9.36,14.9,66.24,5.99
Águas Vermelhas,41,BR,1584157798,99,-15.75,-41.46,64.04,2.86
Vaxjo,0,SE,1584157799,79,56.88,14.81,25.0,6.93
Storforshei,100,NO,1584157800,97,66.4,14.52,8.37,2.77
San Francisco,90,US,1584157127,76,37.77,-122.42,55.99,14.99
Salvacion,52,PH,1584157802,56,7.98,126.13,86.16,4.29
İslahiye,75,TR,1584157803,67,37.02,36.63,60.01,11.41
Codrington,80,AU,1584157804,67,-38.27,141.97,56.73,17.2
Solnechnyy,100,RU,1584157805,86,50.72,136.63,12.43,4.21
Oussouye,0,SN,1584157806,50,12.48,-16.55,78.8,6.93
Hukay,42,PH,1584157808,69,13.85,120.7,82.0,3.96
Mnogovershinnyy,15,RU,1584157811,67,53.94,139.92,8.6,3.42
